wavs/LT001-0001|﻿Jeigu tokia knyga jau lietuvių būtų buvusi parašyta, tuomet nedrįsčiau.
wavs/LT001-0002|(Jeigu kažkas pirmiau būtų pakvietę Richard Branson į Lietuvą, tuomet ir to nebūtume bandę su komanda pakartoti.)
wavs/LT001-0003|Dabar esu pasirengęs jūsų teismui.
wavs/LT001-0004|Nuoširdžiai tikiuosi, kad jums ši knyga suteiks daug naudos, naujų patirčių ir pavyzdžių..
wavs/LT001-0005|o galbūt tiesiog patvirtins, kad tai ką darote - yra išmintinga ir veiksminga.
wavs/LT001-0006|Bijau... Jūs protingi. Patyrę. Suprantate apie marketingą.
wavs/LT001-0007|Bet... kai ką žinau ir aš.
wavs/LT001-0008|Tikiuosi jums tai patiks.
wavs/LT001-0009|Dėmesio: Mes dedame visas pastangas, kad strategijos ir taktikos, kurias pateikiame visuose mūsų mokymuose,
wavs/LT001-0010|būtų išbandytos, patikrintos ir galėtų suteikti Jūsų verslui apčiuopiamą naudą pagerintų jūsų pardavimų rezultatus.
wavs/LT001-0011|Bet taip pat turime jus įspėti:
wavs/LT001-0012|Mes netikime greito praturtėjimo schemomis, tik sunkiu ir atkakliu darbu, didžiulės vertės klientams suteikimu, skaidrumu, sąžiningumu ir atsakomybe.
wavs/LT001-0013|Martyno Šaikaus dėstomos marketingo idėjos ir internetinio verslo patarimai yra rekomendacinio pobūdžio.
wavs/LT001-0014|Mes negalime garantuoti, kad pritaikę mūsų siūlomas strategijas jūs uždirbsite pinigus.
wavs/LT001-0015|Mes jūsų taip gerai nepažįstame.
wavs/LT001-0016|Jūsų pasiekimai priklauso tik nuo jūsų žinių, įgūdžių, pastangų, rinkos, finansinės situacijos, o kartais - ir trupučio sėkmės.
wavs/LT001-0017|Du tūkstančiai vienuoliktieji - du tūkstančiai penkioliktieji, Martynas Šaikus.
wavs/LT001-0018|Visos teisės saugomos įstatymų. Nė viena šios knygos dalis negali būti atkartota, nesvarbu kokia forma, be raštiško autoriaus leidimo.
wavs/LT001-0019|Išleido M B “Martyno Šaikaus projektai”, du tūkstančiai penkioliktieji
wavs/LT001-0020|Martynas Šaikus yra žinomas, kaip vienas brangiausiai apmokamų internetinio marketingo, paslaugų marketingo ir naujų produktų įvedimo į rinką ekspertas Lietuvoje.
wavs/LT001-0021|Du tūkstančiai trčiaisiais metais, būdamas pirmakursis, įkūrė savo pirmąjį verslą
wavs/LT001-0022|(savitarnos skalbyklos studentų bendrabučiuose) ir nuo to laiko jis pradėjo toliau kurti naujus verslus ir organizuoti marketingo kampanijas tokiose srityse,
wavs/LT001-0023|kaip mokymai, seminarai ir konferencijos, knygų, CD ir DVD mokymo programų leidyba bei platinimas,
wavs/LT001-0024|vasariškų marškinėlių merginoms ir vaikinams dizainų kūrimas, gamyba ir platinimas,
wavs/LT001-0025|VIP užsienio kelionių aukščiausio lygio vadovams organizavimas, konsultacijų, įmonių veiklos auditų ir kitų profesinių paslaugų pardavimas.
wavs/LT001-0026|Martynas taip pat yra didžiausios Centrinėje ir Rytų Europoje verslo konferencijos FORUM ONE bendraįkūrėjas, antrepreneris, marketingo ekspertas,
wavs/LT001-0027|sukaupęs bene didžiausią patirtį Lietuvoje paslaugų, konsultacijų, seminarų, konferencijų ir mokymų pardavimuose.
wavs/LT001-0028|Per daugiau nei dešimties metų profesinį darbą Martynas vienas arba kartu su projekto partneriais surengė per 500 įvairiausių mokymų, seminarų ir konferencijų,
wavs/LT001-0029|kuriuose apsilankė per keturiasdešimt tūkstančių dalyvių.
wavs/LT001-0030|Dalis Martyno Šaikaus kartu su partneriais ir atskirai įgyvendintų unikalių projektų:
wavs/LT001-0031|Du tūkstančiai penkioliktais metais rudenį Martynas pristatys vieną didžiausių knygų leidybos projektų Lietuvoje, prie kurio slaptai dirbo jau tris metus.
wavs/LT001-0032|Lapkričio - gruodžio mėnesiais pasirodysianti knyga pozityviai sudrums ramybę tūkstančiams vaikų ir jaunuolių visoje Lietuvoje.
wavs/LT001-0033|Du tūkstančiai penkioliktais metais kartu su Dariumi Jonausku ir verslo partneriais Ukrainoje surengė pirmąją “Forum One Ukraine” konferenciją,
