LT031-0202|Tuoj įjungsiu šviesas, - pažadėjo Vinstonas. - Ženkite vidun, užverkite duris.
LT013-0185|kažkodėl pagalvojau, prisiminęs, kad Amerikoje policija anksčiau girtumą tikrindavo, prašydama pasakyti abėcėlę atbulai.
LT014-0064|- Gal turite smulkiau?
LT037-0177|Princo interesus gvardiečių vadas sergėjo maniakiškai ir nuožmiai.
LT039-0066|bet Garsą siaubingai vargindavo paranojiškas jos elgesys ir nervingumu kunkuliuojanti energija.
LT014-0150|Tik kas man padovanos? Aš čia nieko nepažįstu. Net nepagalvojau apie tai, ar mane kas nors pažįsta.
LT034-0132|griaustinį, potvynius, žemės drebėjimus, ugnikalnius, nevaisingumą, marus, netgi meilę,
LT004-0052|Skaičių žaidimas
LT015-0122|reikia manyti, būdamas tvarkingas, Kazlauskas kodą įsiminė ir lapelį sunaikino. Aš irgi turbūt taip daryčiau. Nieko, gausiu banke naują.
LT034-0105|Antonijau, jūs mane gąsdinate.
LT018-0116|Rašytojas ir linksmintojas. Pusė Lietuvos jį skaito, kita pusė ant jo loja, kad jis rašo nesąmones ir tyčiojasi iš visų, ir vis tiek jį skaito.
LT024-0022|Jis manęs nevadino vardu - ir anksčiau to nedarė, o dabar, kaip tai atrodytų?
LT036-0250|Ispanijos karalius blausiai šyptelėjo.
LT028-0153|kvailame darbe ir masines atostogas, į kurias važiuoja proletarai ir biurų žiurkės.
LT029-0029|Kiršas, aišku, kreipiasi į visą pasauli, nes būtent tokiu mastu Brownas rašo.
LT033-0238|Vėl sutelkęs dėmesį į pakylą, jis pamatė du vyrus, kurių anksčiau nepastebėjo - porelę įsitempusių apsauginių akmeniniais veidais.
LT028-0122|„Raz dva, raz dva.“
LT016-0198|- Nežinau Roberto, čia negyvena toks, - diedas kalbėjo nedraugiškai. - Bet čia dešimtas namas?
LT018-0138|Tačiau aš vis dar buvau su stikline vienoje rankoje ir telefonu kitoje. Pasijutau vėl pertraukęs draugą ir kalbėjęs daugiau nei klausęs.
LT033-0027|O dangau! - suaikčiojo patarnautojas, kai prieš akis atsivėrė asmeninė vyskupo erdvė.
LT004-0115|Tiesa ta, kad visame pasaulyje milijonai žmonių išleidžia milijonus dolerių psichologams, siekdami pripažinimo ir patvirtinimo.
LT015-0127|Kol neišsiaiškinsiu, kas atsitiko su Timu Nigeliu Brownu.
LT027-0059|Ar liksi Lietuvoje, ir mes galėsim čia džiaugtis dalykais kaip kad dabar?
LT031-0169|Čia Edmondo kūrinys? - subambėjo moteriškė, apsisiautusi audinės kailio šalių, botokso pripūstomis lūpomis. - Aš jo nesuprantu.
LT007-0004|Tam tikra prasme tas juokas juos užkrečia.
LT038-0053|kol pareiškimą pateiks Karališkieji rūmai - bloškė nemalonumus princui Chulijanui į glėbį.
LT003-0165|Pagalvokite ką jūs galėtumėte padovanoti savo potencialiems klientams?
LT002-0110|Potencialus klientas, svarstydamas pasiūlymą, visų pirma, kelia sau klausimą: „Kokia man iš to nauda?“
LT015-0052|Mano numerio nėra. Yra kažkoks kitas telefonas, kitas numeris, kurį žino kiti žmonės, bet jie dar kol kas man nepaskambino.
LT021-0030|Aš vis dar nežinau, kaip ir kodėl aš nusistatau honorarus. Vienas iš dalykų, kurių aš niekaip nesupratau Lietuvoje, yra lietuvio santykis su pinigais.
LT028-0001|Šešioliktas skirsnis. Dvidešimttrečias skyrius. Pristatymas tik protingiems vyrams.
LT023-0126|kaip ir tikri gydytojai ar farmacininkai nekalba su aplinkiniais apie ligas, gydymą ir vaistus, nes jie per gerai tai išmano.
LT035-0172|Dar po kelių sekundžių spindulių pluoštas grįžo į salės priešakį. Ten pat nukrypo ir žiūrovų akys.
LT032-0055|Ir dar, kai teiravotės, kodėl asmeniškai nevedžioju jūsų po muziejų, pareiškiau, kad ponas Kiršas vengia per smarkiai gausinti žmonių skaičių.
LT029-0012|ir įžūliomis ateities prognozėmis. Kiršas prieš daugelį metų mokėsi Harvardo universitete ir buvo vienas iš talentingiausių Lengdono studentų
LT033-0166|Mėnulio apšviestoje dykumoje, į rytus nuo Dubajaus,„Sand Viper
LT026-0016|(daugelis dar ir rimtai priimdavo, manau, nes lietuviai šiaip labai prastai suderinami su humoro jausmu, o dar ir tautinius jausmus tatai įžeisdavo),
LT036-0166|Į moterį įsmeigtose Fonsekos akyse blykstelėjo kažkas panašaus į panieką. Bet po sekundės agentas apsisuko ir žengė šalin, ketindamas pratęsti pokalbį telefonu,
LT036-0170|tik neaišku, kodėl ji neatsakė į sužadėtinio skambutį. Jeigu princui teko stebėti tiesioginę transliaciją, jis, be abejo, siaubingai nerimauja.
LT020-0033|Aistė, atrodo, nusipurtė lyg nuo šalto vandens, nes jai vėl buvo priminta, kad aš esu kitoks, negu ji buvo pratusi. Bet adresą pasakė.
LT022-0022|(tos tetos dažniausiai nesupranta nieko, net to, kas joms yra kalbama per Lietuvos radijo pirmąją programą, kurios daugiau niekas nesiklauso, tik jos).
LT034-0150|Jei skaitėte mano knygas, - tęsė profesorius, - tuomet esate susipažinę su „Spragų Dievo“ sąvoka, kurią aš vartoju.
LT020-0104|bet Vainikio nesujungė, nes buvo girtas ir pradėjo keiktis, vos pradėjęs pokalbį su laidos redaktore.
LT039-0106|Martin įtariai palinksėjo galva:
LT024-0052|tau jų šimtą metų nereikia.
LT024-0105|O žinai, iš kur
LT027-0052|- Ateisi ar ne? Jau pasiilgau tavęs, Merky. Mane viešbučiuose dvigubai užveda, tu gi žinai.
LT033-0141|Bet dabar turėtumėte paskubėti. Renginys tuoj prasidės.
LT036-0171|Profesoriui į galvą beveik iš karto šovė antra mintis, kuri privertė įsisąmoninti gerokai nemalonesnį dalyką.
LT039-0071|Martin parodė pirštu į telefoną, prisegtą prie jo diržo.
LT020-0091|Aš likau pas Aistę nakvoti. Ji užmigo apkabinusi mane,
LT021-0023|„Kol kiti pyškina po vieną, aš skinu pergales serijomis!“, tačiau to kažkodėl nepatvirtino, gal per brangiai užsiprašiau.
LT028-0078|Taip, tai buvo eilinė karinių oro pajėgų mokymų diena, tačiau viskas atrodė kaip didžiausia metų šventė, prezidento inauguracija ir ne laiku atėjusios Kalėdos.
LT033-0096|Padarė atradimą, prilygstantį Koperniko išvadoms?
